defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PHIPO:0000067	asexual spores decreased in size	CL:0000605	fungal asexual spore
PHIPO:0000069	sexual spores decreased in size	CL:0000596	sexual spore
