defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PHIPO:0000036	abnormal lipid droplet morphology	GO:0005811	lipid droplet
PHIPO:0000127	abnormal asexual spore morphology	CL:0000605	fungal asexual spore
PHIPO:0000130	abnormal sexual spore morphology	CL:0000596	sexual spore
PHIPO:0000399	abnormal phialide morphology	BTO:0004749	phialide
