defined_class	defined_class_label	biological_process	biological_process_label
PHIPO:0000101	decreased motility	GO:0048870	cell motility
PHIPO:0000288	decreased cellular pigment accumulation	GO:0043482	cellular pigment accumulation
PHIPO:0000974	decreased population growth	GO:0008283	cell population proliferation
PHIPO:0000976	decreased lipid droplet degradation	GO:0016042	lipid catabolic process
PHIPO:0001120	decreased protein phosphorylation	GO:0006468	protein phosphorylation
