defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PHIPO:0000061	asexual spores absent	CL:0000605	fungal asexual spore
PHIPO:0000062	sexual spores absent	CL:0000596	sexual spore
PHIPO:0000406	nucleus absent	GO:0005634	nucleus
