defined_class	defined_class_label	chemical_entity	chemical_entity_label
PHIPO:0001033	pyocyanin absent from cell	CHEBI:8653	pyocyanine
PHIPO:0001034	substance absent from cell	CHEBI:24431	chemical entity
PHIPO:0001063	RNA absent from cell	CHEBI:33697	ribonucleic acid
