defined_class	defined_class_label	biological_process	biological_process_label
PHIPO:0000054	premature asexual sporulation	GO:0030436	asexual sporulation
PHIPO:0000056	premature sexual sporulation	GO:0034293	sexual sporulation
PHIPO:0000342	premature pathogen cell to cell migration within host	GO:0106259	cell-to-cell migration in host
PHIPO:0000362	premature pathogen penetration into host	GO:0044409	entry into host
