defined_class	defined_class_label	molecular_function	molecular_function_label
PHIPO:0000139	abnormal protein complex binding	GO:0044877	protein-containing complex binding
PHIPO:0000145	abnormal DNA binding	GO:0003677	DNA binding
PHIPO:0000152	abnormal RNA binding	GO:0003723	RNA binding
PHIPO:0000330	abnormal transporter activity	GO:0005215	transporter activity
PHIPO:0000413	abnormal molecular function	GO:0003674	molecular_function
PHIPO:0000419	abnormal carbohydrate binding	GO:0030246	carbohydrate binding
PHIPO:0000434	abnormal catalytic activity	GO:0003824	catalytic activity
