defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
PHIPO:0000070	altered in pigment accumulation in sexual spore	GO:0043476	pigment accumulation	CL:0000596	sexual spore
PHIPO:0000076	altered in pigment accumulation in asexual spore	GO:0043476	pigment accumulation	CL:0000605	fungal asexual spore
PHIPO:0001095	abnormal localization of chitin in cell	GO:0006033	chitin localization	CL:0000000	cell
