defined_class	defined_class_label	biological_process	biological_process_label
PHIPO:0000365	decreased pathogen growth in host	GO:0044117	growth of symbiont in host
PHIPO:0000410	decreased asexual spore germination frequency	GO:0009847	spore germination
PHIPO:0001088	decreased rate of hyphae formation	GO:0030448	hyphal growth
PHIPO:0001089	decreased rate of germination tube formation	GO:0075009	germ tube formation on or near host
PHIPO:0001019	decreased rate of asexual spore germination	GO:0009847	spore germination
