defined_class	defined_class_label	biological_process	biological_process_label
PHIPO:0000274	increased asexual spore germination frequency	GO:0009847	spore germination
PHIPO:0000287	increased cellular pigment accumulation	GO:0043482	cellular pigment accumulation
PHIPO:0000368	increased pathogen growth within host	GO:0044114	development of symbiont in host
PHIPO:0000437	increased catalytic activity	GO:0003824	catalytic activity
PHIPO:0001084	increased unicellular population growth rate	GO:0008283	cell population proliferation
