defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PHIPO:0000018	lipid droplets present in decreased numbers	GO:0005811	lipid droplet
PHIPO:0000050	decreased number of sexual spores	CL:0000596	sexual spore
PHIPO:0000052	decreased number of asexual spores	CL:0000605	fungal asexual spore
PHIPO:0000970	autophagosomes present in decreased numbers	GO:0005776	autophagosome
