defined_class	defined_class_label	chemical_entity	chemical_entity_label
PHIPO:0001024	increased cellular cAMP level	CHEBI:17489	3',5'-cyclic AMP
PHIPO:0001026	increased protein level	CHEBI:36080	protein
PHIPO:0001036	increased level of substance in cell	CHEBI:24431	chemical entity
PHIPO:0001037	increased cellular toxin level	CHEBI:27026	toxin
PHIPO:0001059	increased level of pyocyanin	CHEBI:8653	pyocyanine
PHIPO:0001062	increased RNA level	CHEBI:33697	ribonucleic acid
