defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PHIPO:0000065	asexual spores increased in size	CL:0000605	fungal asexual spore
PHIPO:0000068	sexual spores increased in size	CL:0000596	sexual spore
PHIPO:0000479	increased size of lipid droplet	GO:0005811	lipid droplet
