defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
PHIPO:0000944	altered level of substance in cell	CHEBI:24431	chemical entity	CL:0000000	cell
PHIPO:0000945	altered cellular reactive oxygen species level	CHEBI:26523	reactive oxygen species	CL:0000000	cell
